Item name,Item type,(Optional) Item specific type,Item rarity,Item description/details,(Optional) Any other relevant item information,What artwork do you want printed for this item?,Custom artwork location,Artwork hyperlink,Can this item's description be added to the TPK wiki? (Once the wiki is created),(Optional) In which main/side quest did you obtain this item
Eye of the Pinesighted,Wondrous Item,Amulet,Rare,"An amulet crafted from the black, shining eye of Limbbreaker. This amulet allows you to control the wood inherently within all living things. Once per day you may cast Stoneskin on yourself, but it appears as wood. You may also cast Hold Person once a day, DC 14.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Lost and Dammed
Victorious Stone Blade,Weapon,Stone Blade,Unknown,"When the wielder reduces one creature to 0 HP, they can immediately gain advantage on their next melee attack which lasts for 1 minute. In order to keep this connection, the wielder must share a story of their own victory with the sword once every moon cycle.",1d8 bludgeoning or slashing,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Main Quest Session 4.3
Boots of the Tapir,Wondrous Item,Boots,Rare,"Allows the wearer to walk along the bottom of a body of freshwater as easily as if they were walking on land. The boots grow heavy when submerged, and slowly sink, carrying the wearer to the bed of the river or lake. Attuning to the boots also gives the wearer an additional 10 minutes of lung capacity while submerged in water.",Attunement,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Stalking Jaw
Talisman of Improved Capitalism,Wondrous Item,Talisman,Uncommon,"This fragile golden chain holds a single gold coin talisman with the smiling face of a merchant elf. While wearing the talisman as an action, one can choose to rub the coin during a haggling situation that requires a persuasion check. The coin, once used, dissolves into a fine golden dust. As the coin dissolves, the negotiator immediately succeeds on their check to obtain the item in question at a discount of up to 25%. However, for the next 1d4 sessions, any persuasion checks to obtain discounts elsewhere are made at disadvantage, as word has traveled of your uncanny haggling abilities. The coin, once used, dissolves into a fine golden dust.

The talisman can only be used on trade goods that are selling for full price, and that are selling for money. No double dipping discounts! ",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Beach Day
The Spell Shell,Wondrous Item,Amulet,N/A,"If the wearer of this snail shell amulet casts a spell that requires a saving throw, once per day they can make a single enemy reroll their saving throw after the result is determined. The second roll must be used.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,
Fault Finder,Wondrous Item,Spyglass,Rare,"This old red spyglass is affixed with a lens made from the warped scale of an ancient sea dragon.

As an action the spyglass can be used to focus on an enemy within 120 feet that can be seen. The creature looking through the spyglass learns one of the following facts. This ability can only be used once per session.

1. One of the creature's damage vulnerabilities (if it has one)
2. One of the creature's damage resistances (if it has one)
3. The creature's lowest saving throw (or one tied for lowest)

If the wielder of this spyglass uses it as a spell focus to cast Hunter's Mark or Hex, the bonus damage from those spells becomes 1d8 instead of 1d6. This ability can only be used once per session.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Treasures of the Abyss
Mask of Bakunua's Breath,Wondrous Item,Mask,Uncommon,"Decorated to look like the face of the ancient dragon of the reefs. This mask of enchanted abalone shell allows you to see the world beyond the waves, so long as your thoughts do not wander from its gifts.

When you are wearing the mask and are fully submerged in water, this mask allows you to breathe and speak normally. This effect needs to be concentrated on like a spell, and can be concentrated on even if you are a barbarian using the rage feature. The water breathing effect ends when you lose concentration. As soon as you are no longer fully submerged in water, the water breathing effect ends and is reactivated when you are fully submerged again.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Treasures of the Abyss
Floatie Rings,Wondrous Item,,Uncommon,"Bright colored swimming rings to be worn around the arms or wings. They are inflatable, and coated with a magic sheen to keep the wearer afloat in the water (and change color to match the swimming outfit of the wearer!). Once per day, the rings can be activated to cast the spell Water Walk, with the change of only affecting liquid water.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,Beach Day
Swan Song the Silence Breaker,Weapon,Spear,Unique,"This winged spear is the legendary weapon of the Swan Knight, servant of the Court of Songs.

+2 Returning winged spear that deal an additional d6 thunder damage.

1/day the wielder way cast Shatter using Wisdom as the ability",D6 / D8 Versatile,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,
Eye of the Pinesighted,Wondrous Item,Amulet,Rare,"An amulet crafted from the black, shining eye of Limbreaker.

This amulet allows you to control the wood inherently within all living things. 1/day wearer may cast Stoneskin on themselves, but appearing as wood. They may also cast Hold Person 1/day.",,Generic item art (created by other Leyfarers or royalty-free stock images),,,Yes,The Lost and the Dammed
